dyn,pqif,seed,sim,vr,f,quadrant,shape,mean_q,std_q,mean_all,std_all
oscillations,0.25,4,1,-8.5,14.44,q1,"(50, 50)",0.0024440089305567477,0.06155116051449851,3.719963225415167e-20,0.06432411953255661
oscillations,0.25,4,1,-8.5,14.44,q2,"(50, 150)",-0.0008176120169492323,0.06398303555544077,3.719963225415167e-20,0.06432411953255661
oscillations,0.25,4,1,-8.5,14.44,q3,"(150, 50)",-0.00015533714156760285,0.0637266742127607,3.719963225415167e-20,0.06432411953255661
oscillations,0.25,4,1,-8.5,14.44,q4,"(150, 150)",5.2969547826277364e-05,0.06492976486754642,3.719963225415167e-20,0.06432411953255661
oscillations,0.25,5,1,-8.5,14.44,q1,"(50, 50)",0.0008367763849341826,0.06536674924561824,-1.4182359796895324e-19,0.06406545485499637
oscillations,0.25,5,1,-8.5,14.44,q2,"(50, 150)",-0.0002698327373444153,0.0644359701437912,-1.4182359796895324e-19,0.06406545485499637
oscillations,0.25,5,1,-8.5,14.44,q3,"(150, 50)",0.0012564545368953502,0.06287238895271507,-1.4182359796895324e-19,0.06406545485499637
oscillations,0.25,5,1,-8.5,14.44,q4,"(150, 150)",-0.00042332968538125827,0.0641870717026894,-1.4182359796895324e-19,0.06406545485499637
oscillations,0.25,6,1,-8.5,14.44,q1,"(50, 50)",-0.001818680539900251,0.06265383890926489,-1.4417272856643705e-19,0.06458220020966875
oscillations,0.25,6,1,-8.5,14.44,q2,"(50, 150)",0.0005650956388021958,0.06511957334061773,-1.4417272856643705e-19,0.06458220020966875
oscillations,0.25,6,1,-8.5,14.44,q3,"(150, 50)",0.0007515000479326134,0.06479574524738115,-1.4417272856643705e-19,0.06458220020966875
oscillations,0.25,6,1,-8.5,14.44,q4,"(150, 150)",-0.0002530952864133413,0.06452213038250822,-1.4417272856643705e-19,0.06458220020966875
oscillations,0.25,7,1,-8.5,14.44,q1,"(50, 50)",-4.142339742886132e-05,0.06748434078393743,-1.3966240665361746e-20,0.06388847927861459
oscillations,0.25,7,1,-8.5,14.44,q2,"(50, 150)",1.3832892826084565e-05,0.06424372442162854,-1.3966240665361746e-20,0.06388847927861459
oscillations,0.25,7,1,-8.5,14.44,q3,"(150, 50)",0.0012814809594233812,0.06325548946145731,-1.3966240665361746e-20,0.06388847927861459
oscillations,0.25,7,1,-8.5,14.44,q4,"(150, 150)",-0.0004299530470101032,0.0635729955831966,-1.3966240665361746e-20,0.06388847927861459
oscillations,0.25,8,1,-8.5,14.44,q1,"(50, 50)",-0.0014826670739652738,0.06352246823168989,-8.599533560360659e-20,0.06375579008626393
oscillations,0.25,8,1,-8.5,14.44,q2,"(50, 150)",0.0004842849111119816,0.06360033479856912,-8.599533560360659e-20,0.06375579008626393
oscillations,0.25,8,1,-8.5,14.44,q3,"(150, 50)",-0.000957738768322968,0.06322177691603818,-8.599533560360659e-20,0.06375579008626393
oscillations,0.25,8,1,-8.5,14.44,q4,"(150, 150)",0.00031711510620039546,0.06400254082675551,-8.599533560360659e-20,0.06375579008626393
oscillations,0.25,9,1,-8.5,14.44,q1,"(50, 50)",0.00011757694685114416,0.06444580049291943,-3.6734636850974773e-19,0.06481575756004147
oscillations,0.25,9,1,-8.5,14.44,q2,"(50, 150)",-3.834850488227886e-05,0.06704844931721818,-3.6734636850974773e-19,0.06481575756004147
oscillations,0.25,9,1,-8.5,14.44,q3,"(150, 50)",-0.001031272884392556,0.06454539906258697,-3.6734636850974773e-19,0.06481575756004147
oscillations,0.25,9,1,-8.5,14.44,q4,"(150, 150)",0.00035094153587747246,0.0642050317883403,-3.6734636850974773e-19,0.06481575756004147
oscillations,0.25,10,1,-8.5,14.44,q1,"(50, 50)",-0.004634535682711344,0.06425121441534172,-1.6292581074163723e-19,0.06382304069302829
oscillations,0.25,10,1,-8.5,14.44,q2,"(50, 150)",0.0015046928626247845,0.0642956241940791,-1.6292581074163723e-19,0.06382304069302829
oscillations,0.25,10,1,-8.5,14.44,q3,"(150, 50)",0.0021288573904445374,0.06509951906826981,-1.6292581074163723e-19,0.06382304069302829
oscillations,0.25,10,1,-8.5,14.44,q4,"(150, 150)",-0.0006937935474062485,0.06315242736427801,-1.6292581074163723e-19,0.06382304069302829
oscillations,0.25,11,1,-8.5,14.44,q1,"(50, 50)",-0.0022937945600827016,0.06446961493736626,1.5811168148301634e-19,0.06354163137995304
