dyn,pqif,seed,sim,vr,f,quadrant,shape,mean_q,std_q,mean_all,std_all,mean_all_filtered,std_all_filtered
sequences,0.75,43,10,-12.3,10.68,q4,"(50, 50)",0.04993261837065941,0.19193906111538747,0.01972228592621096,0.19658221032200454,0.06608237871070853,0.3555567952443141
sequences,0.75,44,10,-12.3,10.68,q1,"(150, 150)",0.010605249477281125,0.19896681407900202,0.019581949891358415,0.19661707662826666,0.06555724771127691,0.35553864718306294
sequences,0.75,44,10,-12.3,10.68,q2,"(150, 50)",0.047312334403512304,0.18854422293058165,0.019581949891358415,0.19661707662826666,0.06555724771127691,0.35553864718306294
sequences,0.75,44,10,-12.3,10.68,q3,"(50, 150)",0.007969654766053795,0.19441594413838675,0.019581949891358415,0.19661707662826666,0.06555724771127691,0.35553864718306294
sequences,0.75,44,10,-12.3,10.68,q4,"(50, 50)",0.05201798545750619,0.19420098757131393,0.019581949891358415,0.19661707662826666,0.06555724771127691,0.35553864718306294
sequences,0.75,45,10,-12.3,10.68,q1,"(150, 150)",0.012658245856733617,0.1937838157940815,0.01991445871043607,0.19137978799841635,0.06674305391013345,0.34587112598435144
sequences,0.75,45,10,-12.3,10.68,q2,"(150, 50)",0.04251890201991943,0.183692373343728,0.01991445871043607,0.19137978799841635,0.06674305391013345,0.34587112598435144
sequences,0.75,45,10,-12.3,10.68,q3,"(50, 150)",0.009665148061771201,0.18943758180138387,0.01991445871043607,0.19137978799841635,0.06674305391013345,0.34587112598435144
sequences,0.75,45,10,-12.3,10.68,q4,"(50, 50)",0.04815497641130266,0.1898477871409534,0.01991445871043607,0.19137978799841635,0.06674305391013345,0.34587112598435144
sequences,0.75,46,10,-12.3,10.68,q1,"(150, 150)",0.011025813980613948,0.1989625763928731,0.0196261775853006,0.197547172033218,0.06576586273033629,0.3574004395904362
sequences,0.75,46,10,-12.3,10.68,q2,"(150, 50)",0.046470404072052544,0.19109264048277158,0.0196261775853006,0.197547172033218,0.06576586273033629,0.3574004395904362
sequences,0.75,46,10,-12.3,10.68,q3,"(50, 150)",0.007439951178654429,0.19759049315087238,0.0196261775853006,0.197547172033218,0.06576586273033629,0.3574004395904362
sequences,0.75,46,10,-12.3,10.68,q4,"(50, 50)",0.05305544978716316,0.19250308714935543,0.0196261775853006,0.197547172033218,0.06576586273033629,0.3574004395904362
sequences,0.75,47,10,-12.3,10.68,q1,"(150, 150)",0.007790467310113013,0.19375368474590676,0.01887572405209354,0.2030397478690018,0.06319291614360074,0.36771546603852107
sequences,0.75,47,10,-12.3,10.68,q2,"(150, 50)",0.053191182825686675,0.22647752718831948,0.01887572405209354,0.2030397478690018,0.06319291614360074,0.36771546603852107
sequences,0.75,47,10,-12.3,10.68,q3,"(50, 150)",0.004091561452380645,0.1899268368807708,0.01887572405209354,0.2030397478690018,0.06319291614360074,0.36771546603852107
sequences,0.75,47,10,-12.3,10.68,q4,"(50, 50)",0.06004914620827758,0.2294677095496089,0.01887572405209354,0.2030397478690018,0.06319291614360074,0.36771546603852107
sequences,0.75,48,10,-12.3,10.68,q1,"(150, 150)",0.010101760708398681,0.20605780468380752,0.019309493714747883,0.2065716217805926,0.06472094424249333,0.37428200772356723
sequences,0.75,48,10,-12.3,10.68,q2,"(150, 50)",0.04823653657978375,0.20497672931073033,0.019309493714747883,0.2065716217805926,0.06472094424249333,0.37428200772356723
sequences,0.75,48,10,-12.3,10.68,q3,"(50, 150)",0.003981428780484282,0.20414013805121414,0.019309493714747883,0.2065716217805926,0.06472094424249333,0.37428200772356723
sequences,0.75,48,10,-12.3,10.68,q4,"(50, 50)",0.061382156979573915,0.2092766162873458,0.019309493714747883,0.2065716217805926,0.06472094424249333,0.37428200772356723
sequences,0.75,49,10,-12.3,10.68,q1,"(150, 150)",0.011448660435133451,0.20449288822469427,0.01965167529215553,0.20229449778261954,0.06584578754282303,0.3661652242934404
sequences,0.75,49,10,-12.3,10.68,q2,"(150, 50)",0.045319884081705564,0.1947333350009638,0.01965167529215553,0.20229449778261954,0.06584578754282303,0.3661652242934404
sequences,0.75,49,10,-12.3,10.68,q3,"(50, 150)",0.007089076657119558,0.1991888888153069,0.01965167529215553,0.20229449778261954,0.06584578754282303,0.3661652242934404
sequences,0.75,49,10,-12.3,10.68,q4,"(50, 50)",0.054161978541812025,0.2034072274270675,0.01965167529215553,0.20229449778261954,0.06584578754282303,0.3661652242934404
sequences,0.75,0,11,-17.0,8.65,q1,"(150, 150)",0.009374682530171858,0.20737839227807725,0.021051021638737163,0.2063349421573268,0.07052268555690841,0.3730120025705796
sequences,0.75,0,11,-17.0,8.65,q2,"(150, 50)",0.056974811770242086,0.1973651175179783,0.021051021638737163,0.2063349421573268,0.07052268555690841,0.3730120025705796
sequences,0.75,0,11,-17.0,8.65,q3,"(50, 150)",0.005002691302970912,0.2046926209712468,0.021051021638737163,0.2063349421573268,0.07052268555690841,0.3730120025705796
sequences,0.75,0,11,-17.0,8.65,q4,"(50, 50)",0.06651169422860888,0.2089006264436842,0.021051021638737163,0.2063349421573268,0.07052268555690841,0.3730120025705796
sequences,0.75,1,11,-17.0,8.65,q1,"(150, 150)",0.013271599052580157,0.20563362762385903,0.021303794425453902,0.20058533700563727,0.07136949556265963,0.36223708430964363
sequences,0.75,1,11,-17.0,8.65,q2,"(150, 50)",0.04622445239336165,0.1843564427865127,0.021303794425453902,0.20058533700563727,0.07136949556265963,0.36223708430964363
sequences,0.75,1,11,-17.0,8.65,q3,"(50, 150)",0.00921121650542658,0.20316801122478872,0.021303794425453902,0.20058533700563727,0.07136949556265963,0.36223708430964363
sequences,0.75,1,11,-17.0,8.65,q4,"(50, 50)",0.055109312637676384,0.1826637777065473,0.021303794425453902,0.20058533700563727,0.07136949556265963,0.36223708430964363
sequences,0.75,2,11,-17.0,8.65,q1,"(150, 150)",0.00772903417448909,0.21816265656262476,0.02073388085466358,0.2190138777927719,0.06941953914677687,0.39650957246480684
sequences,0.75,2,11,-17.0,8.65,q2,"(150, 50)",0.06059818996069095,0.21681145067404473,0.02073388085466358,0.2190138777927719,0.06941953914677687,0.39650957246480684
