simulationID,dynamic,simulation,vrest,slope,pqif,seed,std,mean,mean_filtered,std_filtered,num_zero_weights,num_non_zero_weights,frac_zero_weights
sequences_12_0.25_7,sequences,12,-22.0,7.18,0.25,7,0.215572270941494,0.022586060864266636,0.0756525234107072,0.3894129048586252,28058,11942,0.70
sequences_12_0.25_8,sequences,12,-22.0,7.18,0.25,8,0.22037483951517378,0.02257270178226609,0.07558878788536154,0.39827318174886145,28055,11945,0.70
sequences_12_0.25_9,sequences,12,-22.0,7.18,0.25,9,0.2159421155979312,0.02255519034931872,0.07554912192034406,0.39011272552928367,28058,11942,0.70
sequences_12_0.25_10,sequences,12,-22.0,7.18,0.25,10,0.22123739435876702,0.022453125829755675,0.07520095731308943,0.39995658713219917,28057,11943,0.70
sequences_12_0.25_11,sequences,12,-22.0,7.18,0.25,11,0.2227145205476255,0.022374034329339897,0.07499257358585519,0.4028741580942822,28066,11934,0.70
sequences_12_0.25_12,sequences,12,-22.0,7.18,0.25,12,0.21587642971379403,0.022537364803411286,0.07552103477728504,0.3900776568758245,28063,11937,0.70
sequences_12_0.25_13,sequences,12,-22.0,7.18,0.25,13,0.2246261784964587,0.022470914303372416,0.07522904018537803,0.40614379785291377,28052,11948,0.70
sequences_12_0.25_14,sequences,12,-22.0,7.18,0.25,14,0.23133920960763082,0.02241114863065373,0.07509180308478382,0.41876409086276617,28062,11938,0.70
sequences_12_0.25_15,sequences,12,-22.0,7.18,0.25,15,0.2187553455146742,0.022410440495850652,0.07513348586321567,0.39556825196021544,28069,11931,0.70
sequences_12_0.25_16,sequences,12,-22.0,7.18,0.25,16,0.22975627924581515,0.02241257952397659,0.07508401850578421,0.4157995467879627,28060,11940,0.70
