dyn,pqif,seed,sim,vr,f,quadrant,shape,num_weights,mean_q,std_q,mean_all,std_all,num_zero_weights,num_non_zero_weights,frac_zero_weights
sequences,0.25,7,11,-17.0,8.65,q1,"(50, 50)",711,0.005304025264034282,0.5623328877054307,0.06830874169676637,0.3799298274260051,28047,11953,0.70
sequences,0.25,7,11,-17.0,8.65,q2,"(50, 150)",2272,0.0931862241328857,0.31731082087416934,0.06830874169676637,0.3799298274260051,28047,11953,0.70
sequences,0.25,7,11,-17.0,8.65,q3,"(150, 50)",2230,0.000795978611702966,0.5346905946541524,0.06830874169676637,0.3799298274260051,28047,11953,0.70
sequences,0.25,7,11,-17.0,8.65,q4,"(150, 150)",6740,0.08890639376924425,0.30255824277151383,0.06830874169676637,0.3799298274260051,28047,11953,0.70
sequences,0.25,8,11,-17.0,8.65,q1,"(50, 50)",735,0.0030898958244629906,0.5552563278230462,0.06865513199847709,0.3884472668714849,28059,11941,0.70
sequences,0.25,8,11,-17.0,8.65,q2,"(50, 150)",2226,0.09613523660854342,0.3378020962485314,0.06865513199847709,0.3884472668714849,28059,11941,0.70
sequences,0.25,8,11,-17.0,8.65,q3,"(150, 50)",2343,-0.003251652943821509,0.5139365571057098,0.06865513199847709,0.3884472668714849,28059,11941,0.70
sequences,0.25,8,11,-17.0,8.65,q4,"(150, 150)",6637,0.09208399034497375,0.3204916917582323,0.06865513199847709,0.3884472668714849,28059,11941,0.70
sequences,0.25,9,11,-17.0,8.65,q1,"(50, 50)",708,0.008907339658922776,0.49472649124854073,0.06959813809622709,0.3646337502828335,28073,11927,0.70
sequences,0.25,9,11,-17.0,8.65,q2,"(50, 150)",2330,0.09099233916068186,0.31739943696851136,0.06959813809622709,0.3646337502828335,28073,11927,0.70
sequences,0.25,9,11,-17.0,8.65,q3,"(150, 50)",2246,0.021629753364604477,0.4844659238145914,0.06959813809622709,0.3646337502828335,28073,11927,0.70
sequences,0.25,9,11,-17.0,8.65,q4,"(150, 150)",6643,0.08478067443833999,0.31044963089887634,0.06959813809622709,0.3646337502828335,28073,11927,0.70
sequences,0.25,10,11,-17.0,8.65,q1,"(50, 50)",746,0.0008296075833604822,0.5317711744235906,0.06899046020431365,0.3726605379764721,28061,11939,0.70
sequences,0.25,10,11,-17.0,8.65,q2,"(50, 150)",2208,0.09793308609294706,0.32009257586275447,0.06899046020431365,0.3726605379764721,28061,11939,0.70
sequences,0.25,10,11,-17.0,8.65,q3,"(150, 50)",2258,0.0019826397626723567,0.5036989608249784,0.06899046020431365,0.3726605379764721,28061,11939,0.70
sequences,0.25,10,11,-17.0,8.65,q4,"(150, 150)",6727,0.08954142447521518,0.3059482972918737,0.06899046020431365,0.3726605379764721,28061,11939,0.70
sequences,0.25,11,11,-17.0,8.65,q1,"(50, 50)",759,0.004577642045576752,0.5565832325506568,0.0683278649599278,0.3885880204246126,28054,11946,0.70
sequences,0.25,11,11,-17.0,8.65,q2,"(50, 150)",2205,0.09622160557266801,0.3300355819026178,0.0683278649599278,0.3885880204246126,28054,11946,0.70
sequences,0.25,11,11,-17.0,8.65,q3,"(150, 50)",2264,-0.019432255724757787,0.5415146935167208,0.0683278649599278,0.3885880204246126,28054,11946,0.70
sequences,0.25,11,11,-17.0,8.65,q4,"(150, 150)",6718,0.0959506149407299,0.3080000026006243,0.0683278649599278,0.3885880204246126,28054,11946,0.70
sequences,0.25,12,11,-17.0,8.65,q1,"(50, 50)",743,-0.017826797848573196,0.5820134893834463,0.06854860877791814,0.3962749531064111,28060,11940,0.70
sequences,0.25,12,11,-17.0,8.65,q2,"(50, 150)",2270,0.10010445157442317,0.3229322399264974,0.06854860877791814,0.3962749531064111,28060,11940,0.70
sequences,0.25,12,11,-17.0,8.65,q3,"(150, 50)",2283,-0.002421472138159083,0.5406316446412794,0.06854860877791814,0.3962749531064111,28060,11940,0.70
sequences,0.25,12,11,-17.0,8.65,q4,"(150, 150)",6644,0.09181318715040777,0.3237519966352292,0.06854860877791814,0.3962749531064111,28060,11940,0.70
sequences,0.25,13,11,-17.0,8.65,q1,"(50, 50)",707,-0.0029910844574057888,0.5697704740057774,0.06853526075502452,0.3906523821858541,28054,11946,0.70
sequences,0.25,13,11,-17.0,8.65,q2,"(50, 150)",2305,0.09430216747642745,0.330264672260331,0.06853526075502452,0.3906523821858541,28054,11946,0.70
sequences,0.25,13,11,-17.0,8.65,q3,"(150, 50)",2231,0.0022450572767567963,0.538976447607782,0.06853526075502452,0.3906523821858541,28054,11946,0.70
sequences,0.25,13,11,-17.0,8.65,q4,"(150, 150)",6703,0.08928266490725037,0.3176167985853503,0.06853526075502452,0.3906523821858541,28054,11946,0.70
sequences,0.25,14,11,-17.0,8.65,q1,"(50, 50)",725,0.009389347517940209,0.5647680232176867,0.0692953566908232,0.3940777904917772,28058,11942,0.70
sequences,0.25,14,11,-17.0,8.65,q2,"(50, 150)",2298,0.09191518276023522,0.3330272786183262,0.0692953566908232,0.3940777904917772,28058,11942,0.70
