dyn,pqif,cut,seed,sim,vr,f,quadrant,shape,num_weights,mean_q,std_q,mean_all,std_all,num_zero_weights,num_non_zero_weights,frac_zero_weights
oscillations,0,0.25,34,1,-8.5,14.44,q4,"(150, 150)",6660,-0.002083267598845972,0.4386817463437881,0.0004886314312183383,0.4454435316818432,28055,11945,0.70
oscillations,0,0.25,35,1,-8.5,14.44,q1,"(50, 50)",760,0.014671371010867107,0.43141503160545863,-1.2716852448121968e-05,0.40768526669642224,28070,11930,0.70
oscillations,0,0.25,35,1,-8.5,14.44,q2,"(50, 150)",2245,-0.004921071230690245,0.42963682051143165,-1.2716852448121968e-05,0.40768526669642224,28070,11930,0.70
oscillations,0,0.25,35,1,-8.5,14.44,q3,"(150, 50)",2231,0.014154962703201416,0.3939608452481395,-1.2716852448121968e-05,0.40768526669642224,28070,11930,0.70
oscillations,0,0.25,35,1,-8.5,14.44,q4,"(150, 150)",6694,-0.004755582745131142,0.40165548179387867,-1.2716852448121968e-05,0.40768526669642224,28070,11930,0.70
oscillations,0,0.25,36,1,-8.5,14.44,q1,"(50, 50)",726,0.0132593857610436,0.4232974787177824,-0.0006705522847462684,0.4111654222891026,28073,11927,0.70
oscillations,0,0.25,36,1,-8.5,14.44,q2,"(50, 150)",2180,-0.006756905603351173,0.4402698379100317,-0.0006705522847462684,0.4111654222891026,28073,11927,0.70
oscillations,0,0.25,36,1,-8.5,14.44,q3,"(150, 50)",2195,0.0032811030790665776,0.3912574304971387,-0.0006705522847462684,0.4111654222891026,28073,11927,0.70
oscillations,0,0.25,36,1,-8.5,14.44,q4,"(150, 150)",6826,-0.0014790445657679406,0.40640485729320924,-0.0006705522847462684,0.4111654222891026,28073,11927,0.70
oscillations,0,0.25,37,1,-8.5,14.44,q1,"(50, 50)",723,-0.0017044444654109748,0.5601991560292288,-2.2484952833460262e-05,0.43621479381709183,28064,11936,0.70
oscillations,0,0.25,37,1,-8.5,14.44,q2,"(50, 150)",2249,0.001220283158863014,0.44950247338102894,-2.2484952833460262e-05,0.43621479381709183,28064,11936,0.70
oscillations,0,0.25,37,1,-8.5,14.44,q3,"(150, 50)",2248,-0.0003133270388614238,0.43590920138311495,-2.2484952833460262e-05,0.43621479381709183,28064,11936,0.70
oscillations,0,0.25,37,1,-8.5,14.44,q4,"(150, 150)",6716,-0.00016023297937022932,0.4160902134029636,-2.2484952833460262e-05,0.43621479381709183,28064,11936,0.70
oscillations,0,0.25,38,1,-8.5,14.44,q1,"(50, 50)",729,0.02863133280468729,0.47054780814947916,0.0008975183113754777,0.4404183174153067,28057,11943,0.70
oscillations,0,0.25,38,1,-8.5,14.44,q2,"(50, 150)",2248,-0.007849815238226773,0.47350158022141303,0.0008975183113754777,0.4404183174153067,28057,11943,0.70
oscillations,0,0.25,38,1,-8.5,14.44,q3,"(150, 50)",2298,0.000941710891300772,0.4418298196559398,0.0008975183113754777,0.4404183174153067,28057,11943,0.70
oscillations,0,0.25,38,1,-8.5,14.44,q4,"(150, 150)",6668,0.0007992130482100901,0.4245411053282326,0.0008975183113754777,0.4404183174153067,28057,11943,0.70
