experiment_id,pair_id,pre_cell_id,post_cell_id,psp_amplitude
3089,97471,17619,17622,0.00022476092526338076
3089,97488,17621,17617,0.0006811591395235865
3090,97509,17625,17626,0.0012797912381461438
3097,97615,17652,17650,-0.00028642060162866064
3097,97616,17652,17651,-0.0005654512928602395
3098,97635,17655,17660,0.00023054231711295872
3101,97655,17674,17675,
3101,97677,17675,17674,-0.001164514507643564
3101,97698,17676,17674,-0.0021229021646176783
3101,97701,17676,17675,
3101,97708,17676,17679,-0.00021358654832711926
3098,97713,17660,17655,-0.00017923682003936252
3098,97725,17660,17661,-0.0005471991990371487
3098,97730,17661,17655,-0.0003854760043690538
3098,97746,17661,17660,-0.0002897606905437397
3102,97786,17682,17681,-0.0007918715697247257
3104,97852,17694,17696,
3108,97924,17710,17709,
3111,97967,17721,17724,3.32416070392662e-07
3112,97984,17726,17725,
3112,97989,17726,17730,
3119,98111,17759,17758,
3119,98130,17762,17759,
3125,98260,17792,17796,0.0018540507797052935
3125,98282,17796,17792,-0.0011692504144942529
3125,98289,17796,17800,-0.00015323726646925223
3123,98369,17790,17787,0.00014661587933636916
3124,98381,17803,17795,-0.00045321405126575506
3124,98382,17803,17797,-0.00022624499018900903
3126,98413,17808,17807,0.0002942107261444797
3126,98425,17809,17811,0.0003314525780994698
3126,98432,17810,17808,
3139,98812,17882,17881,
3148,99029,17928,17929,0.0003114513538417706
3148,99032,17929,17928,0.0001674066064529515
3151,99090,17942,17952,-0.0001296575017418053
3151,99094,17946,17942,-0.0017100482876303623
3157,99252,17971,17972,9.421436368286882e-05
3158,99268,17980,17984,-8.294384908859374e-05
3158,99270,17980,17985,-0.0006382970520905807
3157,99286,17972,17982,0.0006270615762178319
3158,99304,17984,17980,
3157,99307,17974,17973,0.0005028330455504173
3157,99309,17974,17975,0.00021149312253895112
3157,99323,17975,17974,0.0005145423179319933
3166,99563,18025,18026,-2.9003041493389393e-05
3166,99580,18028,18025,-0.00023841314986454334
3166,99588,18029,18025,
3171,99689,18051,18054,-0.001236050994976093
3171,99692,18051,18057,-0.00016368966683708263
3171,99696,18052,18054,
3171,99698,18052,18056,
3171,99712,18054,18056,-0.00015065634063663635
3171,99714,18054,18058,-0.00031638707182307614
