experiment_id,pre_cell_id,post_cell_id,has_synapse,pre_cell_class,post_cell_class,fi_slope_pre,fi_slope_post,psp_amplitude
898,5710,5706,0,in,in,2.2430969625605656e-14,-1.815149611234337e-14,
898,5710,5707,0,in,in,2.2430969625605656e-14,1.249999943542473e-12,
898,5710,5709,0,in,in,2.2430969625605656e-14,1.43e-12,
898,5710,5712,0,in,in,2.2430969625605656e-14,3.123934142430368e-14,
898,5710,5713,0,in,in,2.2430969625605656e-14,-1.1775166010657936e-13,
900,5729,5730,1,in,in,6.728571482132787e-13,9.285713940055957e-13,-0.002835574970800535
900,5729,5731,0,in,in,6.728571482132787e-13,-7.14285649409909e-15,
898,5712,5706,0,in,in,3.123934142430368e-14,-1.815149611234337e-14,
900,5729,5732,0,in,in,6.728571482132787e-13,1.0081915588191188e-14,
898,5712,5707,0,in,in,3.123934142430368e-14,1.249999943542473e-12,
898,5712,5709,0,in,in,3.123934142430368e-14,1.43e-12,
900,5729,5734,0,in,in,6.728571482132787e-13,-5.571428479564402e-14,
901,5736,5738,0,ex,ex,6.177606177606178e-14,1.0656370656370646e-13,
901,5736,5739,0,ex,ex,6.177606177606178e-14,8.8030888030888e-14,
901,5736,5740,1,ex,in,6.177606177606178e-14,-8.648648648648622e-14,1.8748364121091677e-05
898,5712,5710,0,in,in,3.123934142430368e-14,2.2430969625605656e-14,
901,5736,5742,1,ex,in,6.177606177606178e-14,2.7027015881093677e-14,
900,5729,5735,0,in,in,6.728571482132787e-13,-1.357142831971038e-13,
899,5719,5705,0,ex,ex,3.580487783510291e-13,0.0,
900,5730,5729,1,in,in,9.285713940055957e-13,6.728571482132787e-13,-0.0007802447250594097
900,5730,5731,0,in,in,9.285713940055957e-13,-7.14285649409909e-15,
898,5712,5713,0,in,in,3.123934142430368e-14,-1.1775166010657936e-13,
900,5730,5732,0,in,in,9.285713940055957e-13,1.0081915588191188e-14,
900,5730,5734,0,in,in,9.285713940055957e-13,-5.571428479564402e-14,
900,5730,5735,0,in,in,9.285713940055957e-13,-1.357142831971038e-13,
897,5725,5727,0,in,in,2.293480248046526e-14,-1.6860518578922044e-15,
901,5736,5745,0,ex,in,6.177606177606178e-14,4.3243243243243227e-13,
900,5731,5729,0,in,in,-7.14285649409909e-15,6.728571482132787e-13,
900,5731,5730,0,in,in,-7.14285649409909e-15,9.285713940055957e-13,
898,5713,5706,0,in,in,-1.1775166010657936e-13,-1.815149611234337e-14,
900,5731,5732,0,in,in,-7.14285649409909e-15,1.0081915588191188e-14,
898,5713,5707,0,in,in,-1.1775166010657936e-13,1.249999943542473e-12,
898,5713,5709,1,in,in,-1.1775166010657936e-13,1.43e-12,
900,5731,5734,0,in,in,-7.14285649409909e-15,-5.571428479564402e-14,
898,5713,5710,0,in,in,-1.1775166010657936e-13,2.2430969625605656e-14,
898,5713,5712,0,in,in,-1.1775166010657936e-13,3.123934142430368e-14,
900,5731,5735,0,in,in,-7.14285649409909e-15,-1.357142831971038e-13,
897,5727,5725,0,in,in,-1.6860518578922044e-15,2.293480248046526e-14,
900,5732,5729,0,in,in,1.0081915588191188e-14,6.728571482132787e-13,
900,5732,5730,0,in,in,1.0081915588191188e-14,9.285713940055957e-13,
900,5732,5731,0,in,in,1.0081915588191188e-14,-7.14285649409909e-15,
901,5738,5736,0,ex,ex,1.0656370656370646e-13,6.177606177606178e-14,
900,5732,5734,0,in,in,1.0081915588191188e-14,-5.571428479564402e-14,
